rep,g,minute,swimmers,total,control_swimmers,control_total
A,500,0,8,45,5,101
A,500,20,3,54,4,103
A,500,40,3,39,,
A,500,60,2,89,,
A,1000,0,3,21,,
A,1000,20,1,61,,
A,1000,40,0,37,,
A,1000,60,1,17,,
A,2000,0,0,93,,
A,2000,20,2,77,,
A,2000,40,2,40,,
A,2000,60,3,39,,
B,500,0,1,29,,
B,500,20,2,52,,
B,500,40,0,64,,
B,500,60,1,81,,
B,1000,0,10,43,,
B,1000,20,0,50,,
B,1000,40,2,65,,
B,1000,60,5,64,,
B,2000,0,16,43,,
B,2000,20,0,41,,
B,2000,40,5,109,,
B,2000,60,1,58,,
C,500,0,0,23,,
C,500,20,2,55,,
C,500,40,4,53,,
C,500,60,6,138,,
C,1000,0,0,33,,
C,1000,20,4,52,,
C,1000,40,0,70,,
C,1000,60,0,64,,
C,2000,0,0,42,,
C,2000,20,0,62,,
C,2000,40,0,45,,
C,2000,60,1,50,,
