source_folder,eid,label,dt,sep,density,df
Metaexperiment_2026_07_21_9hh_55mm_cell_trapping_2b9808e71e,2b9808e71e,C12-9June26,2026-07-21 15:49:48.125157,False,39000.0,1.5
Metaexperiment_2026_07_22_13hh_54mm_cell_trapping_2d89e23bd8,2d89e23bd8,C13-9June26,2026-07-22 14:41:09.258639,False,3830000.0,4.0
Metaexperiment_2026_07_22_13hh_54mm_cell_trapping_2d89e23bd8,2d89e23bd8,C13-9June26,2026-07-22 14:41:34.818150,True,57000.0,1.5
Metaexperiment_2026_07_23_15hh_18mm_cell_trapping_e91b6ef6cc,e91b6ef6cc,Dptx7-5July26,2026-07-23 17:29:44.024135,False,416000.0,4.0
Metaexperiment_2026_07_23_15hh_18mm_cell_trapping_e91b6ef6cc,e91b6ef6cc,Dptx7-5July26,2026-07-23 17:30:14.334178,False,416000.0,4.0
Metaexperiment_2026_07_23_15hh_18mm_cell_trapping_e91b6ef6cc,e91b6ef6cc,Dptx7-5July26,2026-07-23 17:30:30.493125,True,27000.0,1.5
Metaexperiment_2026_07_27_14hh_33mm_cell_trapping_94e95591d3,94e95591d3,Dptx8-5July26,2026-07-27 14:33:54.764655,False,2705000.0,2.0
Metaexperiment_2026_07_27_14hh_33mm_cell_trapping_94e95591d3,94e95591d3,Dptx8-5July26,2026-07-28 14:43:32.901884,True,146250.0,1.5
Metaexperiment_2026_07_28_14hh_47mm_cell_trapping_66af4cfaa9,66af4cfaa9,Dptx9-5July26,2026-07-28 14:51:14.424050,False,4940000.0,4.0
Metaexperiment_2026_07_28_14hh_47mm_cell_trapping_66af4cfaa9,66af4cfaa9,Dptx9-5July26,2026-07-28 14:51:46.985420,True,198000.0,1.5
Metaexperiment_2026_07_29_15hh_14mm_cell_trapping_602108e3e0,602108e3e0,Dptx11-5July26,2026-07-29 16:13:40.511081,False,2745000.0,2.0
Metaexperiment_2026_07_29_15hh_14mm_cell_trapping_602108e3e0,602108e3e0,Dptx11-5July26,2026-07-29 17:54:57.471502,True,15000.0,1.5
Metaexperiment_2026_07_30_16hh_40mm_cell_trapping_8e5b054623,8e5b054623,Dptx12-5July26,2026-07-31 11:18:22.661897,False,1540000.0,2.0
Metaexperiment_2026_07_30_16hh_40mm_cell_trapping_8e5b054623,8e5b054623,Dptx12-5July26,2026-07-31 11:18:47.916132,True,15000.0,1.5
Metaexperiment_2026_07_31_15hh_59mm_cell_trapping_c6a10c234c,c6a10c234c,Eptx11-5July26,2026-07-31 18:29:55.969019,False,2000000.0,2.0
